[Batch Thumbnail] Batch Thumbnail : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/batch/68c289fb7d411_dsssb_prt_icon.png
[Intro] DSSSB 2025 (PRT) | New Batch Introduction | By Uday Sir | Careerwill App : https://www.youtube.com/embed/lpzFg-65eRE
[Intro] DSSSB TGT SPECIAL BATCH INTRODUCTION BY UDAY SIR | CAREERWILL APP : https://www.youtube.com/embed/vUN2PvPTGSE
[Intro] New Offline Teaching Batch Announcement || By Himanshi Maam || Careerwill Offline : https://www.youtube.com/embed/rqdWo9t1NrM
[Maths] Class-01 | Maths | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549361/175792013840184120866/175792013840184120866_4120866.m3u8
[Maths] Class-02 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4550397/175800629536634292795/175800629536634292795_4292795.m3u8
[Maths] Class - 03 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551540/175809489311908969043/175809489311908969043_8969043.m3u8
[Maths] Class - 04 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552464/175817925971595607949/175817925971595607949_5607949.m3u8
[Maths] Class - 05 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553360/175826557139708291192/175826557139708291192_8291192.m3u8
[Maths] Class - 06 | Maths | Percentage : https://www.youtube.com/embed/ehjoihVNBKs
[Maths] Class - 07 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556438/175861167291067118381/175861167291067118381_7118381.m3u8
[Maths] Class - 08 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557502/175869730769087195824/175869730769087195824_7195824.m3u8
[Maths] Class - 09 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558937/175878408392958291192/175878408392958291192_8291192.m3u8
[Maths] Class - 10 | Maths | Percentage : https://www.youtube.com/embed/Zrfx4naI-sE
[Maths] Class - 11 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4562140/175913025758088969043/175913025758088969043_8969043.m3u8
[Maths] Class - 12 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564201/175930261097252356362/175930261097252356362_2356362.m3u8
[Maths] Class - 13 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4565805/175947598633076399745/175947598633076399745_6399745.m3u8
[Maths] Class - 14 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4568137/175973421477836399745/175973421477836399745_6399745.m3u8
[Maths] Class - 15 | Maths | Percentage : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570172/175982160827309047400/175982160827309047400_9047400.m3u8
[Maths] Class - 16 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572807/175999424075069047400/175999424075069047400_9047400.m3u8
[Maths] Class - 17 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574259/176008005448083907752/176008005448083907752_3907752.m3u8
[Maths] Class - 18 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577444/176042674526019047400/176042674526019047400_9047400.m3u8
[Maths] Class - 19 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580706/176068604919938959035/176068604919938959035_8959035.m3u8
[Maths] Class - 20 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586772/176172141545916974029/176172141545916974029_6974029.m3u8
[Maths] Class - 21 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587715/176180758785049762013/176180758785049762013_9762013.m3u8
[Maths] Class - 22 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590763/176215305053873199068/176215305053873199068_3199068.m3u8
[Maths] Class - 23 | Maths | Profit and Loss : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4591712/176223992572625193874/176223992572625193874_5193874.m3u8
[English] Class-01 | English | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552759/175819396579883287604/175819396579883287604_3287604.m3u8
[English] Class-02 | English | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553658/175828138846493287604/175828138846493287604_3287604.m3u8
[English] Class - 03 | Fundamental of English : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556788/175862695669434120866/175862695669434120866_4120866.m3u8
[English] Class - 04 | Fundamental of English : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557934/175871347628943287604/175871347628943287604_3287604.m3u8
[English] Class - 05 | Fundamental of English : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559289/175879985553474120866/175879985553474120866_4120866.m3u8
[English] Class - 06 | Fundamental of English : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560391/175888618013977316486/175888618013977316486_7316486.m3u8
[English] Class - 07 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563833/175924604799059985012/175924604799059985012_9985012.m3u8
[English] Class - 08 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569314/175975020436616399745/175975020436616399745_6399745.m3u8
[English] Class - 09 | English | Fundamental of English : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570552/175983663936153907752/175983663936153907752_3907752.m3u8
[English] Class - 10 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573160/176000911687103107929/176000911687103107929_3107929.m3u8
[English] Class - 11 | English |Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574673/176009572498934800893/176009572498934800893_4800893.m3u8
[English] Class - 12 | English |  Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577024/176036930512123907752/176036930512123907752_3907752.m3u8
[English] Class - 13 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578249/176045557099375296170/176045557099375296170_5296170.m3u8
[English] Class - 14 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579211/176053838399023907752/176053838399023907752_3907752.m3u8
[English] Class - 15 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580978/176070071073099047400/176070071073099047400_9047400.m3u8
[English] Class - 15 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585021/176156442937331268445/176156442937331268445_1268445.m3u8
[English] Class - 16 | English | Sentence and its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586042/176165060912287140453/176165060912287140453_7140453.m3u8
[English] Class - 17 | English | Sentence and Its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587073/17617373738274416846/17617373738274416846_416846.m3u8
[English] Class - 18 | English | Sentence and Its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4588181/176182332067916974029/176182332067916974029_6974029.m3u8
[English] Class - 19 | English | Sentence and Its Part : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4591082/176216953921223590984/176216953921223590984_3590984.m3u8
[Reasoning] Class-01 | Reas : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552320/175817236951336618747/175817236951336618747_6618747.m3u8
[Reasoning] Class - 02 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552702/175819110861058939759/175819110861058939759_8939759.m3u8
[Reasoning] Class - 03 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553591/175827766119198309336/175827766119198309336_8309336.m3u8
[Reasoning] Class - 04 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555592/17585371257741416846/17585371257741416846_416846.m3u8
[Reasoning] Class - 05 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556655/175862353162933103381/175862353162933103381_3103381.m3u8
[Reasoning] Class - 06 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559221/175879626013333103381/175879626013333103381_3103381.m3u8
[Reasoning] Class - 07 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560321/175888257266386618747/175888257266386618747_6618747.m3u8
[Reasoning] Class - 08 | Reas | Clock : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560874/175894910898024392287/175894910898024392287_4392287.m3u8
[Reasoning] Class - 09 | Reas | Ranking : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4562369/175914141923563103381/175914141923563103381_3103381.m3u8
[Reasoning] Class - 10 | Reas | Ranking : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563408/175922769877439906065/175922769877439906065_9906065.m3u8
[Reasoning] Class - 11 | Reas | Ranking : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564527/175931478890248939759/175931478890248939759_8939759.m3u8
[Reasoning] Class - 12 | Reas | Ranking : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4566174/175948718624183103381/175948718624183103381_3103381.m3u8
[Reasoning] Class - 13 | Reasoning | Sequence and Ordering : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4567887/17597265895395416846/17597265895395416846_416846.m3u8
[Reasoning] Class - 14 | Reas | Ranking : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569874/175981298878048309336/175981298878048309336_8309336.m3u8
[Reasoning] Class - 15 | Reas | Dice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572568/175998574767778770242/175998574767778770242_8770242.m3u8
[Reasoning] Class - 16 | Reas | Dice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574589/176009201394628959035/176009201394628959035_8959035.m3u8
[Reasoning] Class - 17 | Reas | Dice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576661/176035121426668291192/176035121426668291192_8291192.m3u8
[Reasoning] Class - 17 | Reas | Dice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577250/176041896220508309336/176041896220508309336_8309336.m3u8
[Reasoning] Class - 18 | Reas | Cube and Cuboid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578468/176050482811318939759/176050482811318939759_8939759.m3u8
[Reasoning] Class - 19 | Reas | Cube and Cuboid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579946/176061054253504292795/176061054253504292795_4292795.m3u8
[Reasoning] Class - 20 | Reas | Cube and Cuboid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585959/176164799189355193874/176164799189355193874_5193874.m3u8
[Reasoning] Class - 20 | Reas | Non-Verbal : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587540/176180101217038969043/176180101217038969043_8969043.m3u8
[Reasoning] Class - 21 | Reas | Non-Verbal : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4588695/176188807428749906065/176188807428749906065_9906065.m3u8
[Reasoning] Class - 22 | Reas | Non-Verbal : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590617/176214696193008969043/176214696193008969043_8969043.m3u8
