[MAZA-1] Organic Chem | L-01 | IUPAC : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482568/1752569939_7144846149194634/1752569110765_750837692923174900_video_VOD.mpd?#keysV1=C36FoiOMv2GjSYd8uwMk5U6JrbbWRmtyrDtuVF-2yK-DtObsdPB__vlc2QzoAD5rDPLTpOBV60q9svc4R15TgY70gYO4TWMrMWTmimtszPIFABNJzrBZo1Rtkxr6TUWfMJWYtDeHgnysajcJQvcZjA==
[MAZA-1] Organic Chem | L-02 | IUPAC : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482582/1752570376_4305654997557143/1752570300399_346750791371999100_video_VOD.mpd?#keysV1=hyDG_lkNh0yDW2IZz2F9avtQDTyMf8ltlp6lewKZmk4DV-f4t_S2cRolp4TangaX6jumn9XJ8jmsBvrIP8gijWqtcEkXv-Ee2ofF-OJ4OF3-x8TM0D5svKurSNHpjG-04UYnGRBl3m194UZAJ6F1rQ==
[MAZA-1] Organic Chem | L-03 | IUPAC : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_ios/4482588/1752570726_5203274390043697/1752570622362_85459770146594110_video_VOD.m3u8
[MAZA-1] Organic Chem | L-04 | IUPAC : https://www.youtube.com/embed/uK85y_u39dg
[MAZA-1] Organic Chem | L-05 | IUPAC : https://www.youtube.com/embed/pSPjzZq4-88
[MAZA-1] Organic Chem | L-06 | IUPAC : https://www.youtube.com/embed/4V_C6Zi75X0
[MAZA-1] Organic Chem | L-07 | IUPAC : https://www.youtube.com/embed/eRFR4XeJ_5U
[MAZA-1] Organic Chem | L-08 | IUPAC : https://www.youtube.com/embed/NvH8_yo6m3U
[MAZA-1] Organic Chem | L-01 | Isomerism : https://www.youtube.com/embed/Ct6bJyRBaII
[MAZA-1] Organic Chem | L-02 | Isomerism : https://www.youtube.com/embed/XFHgzCE359s
[MAZA-1] Organic Chem | L-03 | Isomerism : https://www.youtube.com/embed/YybrNsi2UZI
[MAZA-1] Organic Chem | L-04 | Isomerism : https://www.youtube.com/embed/M8JRwfCKp7o
[MAZA-1] Organic Chem | L-05 | Isomerism : https://www.youtube.com/embed/IsA-zgidu84
[MAZA-1] Organic Chem | L-06 | Isomerism : https://www.youtube.com/embed/xzRtoSGW-NA
[MAZA-1] Organic Chem | L-07 | Isomerism : https://www.youtube.com/embed/G2W9_HU_0F8
[MAZA-1] Organic Chem | L-08 | Isomerism : https://www.youtube.com/embed/uUOWANHtH2I
[MAZA-1] Organic Chem | L-09 | Isomerism : https://www.youtube.com/embed/NWakZbcB4rw
[MAZA-1] Organic Chem | L-10 | Isomerism : https://www.youtube.com/embed/BaOeZ7viJqQ
[MAZA-1] Organic Chem | L-11 | Isomerism : https://www.youtube.com/embed/jylCbHLWCVs
[MAZA-1] Organic Chem | L-12 | Isomerism : https://www.youtube.com/embed/EdYUvhE28bA
[MAZA-1] Zoology | L-01 | Body Fluids And Circulation : https://www.youtube.com/embed/LaKdLiN0JrI
[MAZA-1] Zoology | L-02 | Body Fluids And Circulation : https://www.youtube.com/embed/qShUMwV3aPM
[MAZA-1] Zoology | L-03 | Body Fluids And Circulation : https://www.youtube.com/embed/yGQdhJtHB2I
[MAZA-1] Zoology | L-04 | Body Fluids And Circulation : https://www.youtube.com/embed/5jl7Yo_Ck98
