Class - 01 | Vocabulary (Root Words) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2749466-1762147743/hls-56310d/720p/master-121026.56196527396.m3u8
Demo Class | Vocabulary | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2645833-1759924018/hls-c04f57/720p/master-3069480.997810656.m3u8
Class - 02 | Vocabulary (Root Words) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2755260-1762234682/hls-7582f9/720p/master-1719569.154531504.m3u8
Class - 03 | Vocabulary (Root Words) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2761220-1762320907/hls-787d85/720p/master-2668438.8418255444.m3u8
Class - 04 | Vocabulary (Root Words) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2767250-1762407127/hls-162b12/720p/master-5955768.907631556.m3u8
Class - 05 | Vocabulary (Root Words) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2773823-1762501414/hls-660e7e/720p/master-161535.12261522395.m3u8
Class - 06 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2780002-1762579950/hls-c4175a/720p/master-5535220.83741862.m3u8
Class - 07 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2787069-1762753102/hls-e45584/720p/master-2416022.258157193.m3u8
Class - 08 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2793068-1762839326/hls-11820b/720p/master-3180404.576442406.m3u8
Class - 09 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2798878-1762923922/hls-635ef9/720p/master-7592902.9022951955.m3u8
Class - 10 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2804982-1763012311/hls-727335/720p/master-7503995.508006102.m3u8
Class - 11 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2811168-1763098704/hls-9ba46d/720p/master-6318376.093395877.m3u8
Class - 12 | Vocabulary (Synonyms & Antonyms)| Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2825265-1763357365/hls-2e2a16/720p/master-1154918.887412706.m3u8
Class - 13 | Idioms | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2831125-1763443948/hls-6fee3c/720p/master-5512672.637350437.m3u8
Class - 14 | Idioms | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2837058-1763530530/hls-b7be18/720p/master-6965379.484760938.m3u8
Class - 15 | Vocabulary (Practice) | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2843127-1763616932/hls-edbae0/720p/master-8976578.420077391.m3u8
Class - 16 | Idioms | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2849348-1763703162/hls-1279ef/720p/master-585856.2756674556.m3u8
Demo Class - 01 | Passage | Sandeep Bhaiya:https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2637883-1759820166/hls-816370/720p/master-7019769.582954618.m3u8
