History - Class-01 | His |  Intro [10-Feb-2025 09:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6368579101112/6368579101112.m3u8
History - Class-02 | His | History Intro [11-Feb-2025 09:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6368628005112/6368628005112.m3u8
History - Class-03 | His | History Intro [15-Feb-2025 09:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6368861716112/6368861716112.m3u8
History - Class-04 | His | History Intro [18-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6368979897112/6368979897112.m3u8
History - Class-05 | His | History Intro [19-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/KvCOd_-hx5w/KvCOd_-hx5w.m3u8
History - Class-06 | His | History Intro [20-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369073514112/6369073514112.m3u8
History - Class-07 | His | History Intro [21-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369126536112/6369126536112.m3u8
History - Class-08 | His | History Intro [24-Feb-2025 08:45]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369242172112/6369242172112.m3u8
History - Class-09 | His | History Intro [25-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369282767112/6369282767112.m3u8
History - Class-10 | His | History Intro [26-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369327499112/6369327499112.m3u8
History - Class-11 | His | History Intro [28-Feb-2025 08:30]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369424418112/6369424418112.m3u8
History - Class-12 | His | History Intro [03-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369547699112/6369547699112.m3u8
History - Class-13 | His | Slave Dynasty [04-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369588238112/6369588238112.m3u8
History - Class-14 | His | Balban [06-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369672604112/6369672604112.m3u8
History - Class-15 | His | Khalji dynasty [07-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369719734112/6369719734112.m3u8
History - Class-16 | His | Khalji dynasty [10-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369838738112/6369838738112.m3u8
History - Class-17 | His | Khalji dynasty [11-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369879243112/6369879243112.m3u8
History - Holi | Festivals of India | Festivals of Colors | Why We Celebrate Holi? EXPLAINED by Jeet Rana Sir [13-Mar-2025 17:15]: https://www.youtube.com/embed/4O9fut9HsUU
History - Class-18 | His | Tughlaq Dynasty [17-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370140362112/6370140362112.m3u8
History - Class-19 | His | Tughlaq Dynasty [18-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370184260112/6370184260112.m3u8
History - Class-01 | Ancient History | Intro [19-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370226087112/6370226087112.m3u8
History - Class-02 | Ancient History | Stone Age [20-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370264919112/6370264919112.m3u8
History - Class-03 | Ancient History | Stone Age [21-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370318618112/6370318618112.m3u8
History - Class-04 | Ancient History | IVC [24-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370459013112/6370459013112.m3u8
History - Class-05 | Ancient History | IVC [25-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370514576112/6370514576112.m3u8
History - Class-06 | Ancient History | IVC [26-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370577430112/6370577430112.m3u8
History - Class-07 | Ancient History | IVC [27-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370626263112/6370626263112.m3u8
History - Class-08 | Ancient History | IVC - Practice [31-Mar-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370825089112/6370825089112.m3u8
History - Class-09 | Ancient History | Vedic Age {वैदिक युग} [01-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370868349112/6370868349112.m3u8
History - Class-10 | Ancient History | Vedic Age {वैदिक युग} [02-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370917867112/6370917867112.m3u8
History - Class-11 | Ancient History | Later Vedic Period {उत्तर वैदिक काल} [03-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370972576112/6370972576112.m3u8
History - Class-12 | Ancient History | Later Vedic Period {उत्तर वैदिक काल} [04-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371029324112/6371029324112.m3u8
History - Class-13 | Ancient History | Mahabharat & Ramayan [07-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371170563112/6371170563112.m3u8
History - Class-14 | Ancient History | Mahajanapadas {महाजनपद} [08-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371215722112/6371215722112.m3u8
History - Class-15 | Ancient History | Buddhism {बुद्ध धर्म} [11-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371352503112/6371352503112.m3u8
History - Class-16 | Ancient History | Buddhism {बुद्ध धर्म} [14-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371470607112/6371470607112.m3u8
History - Class-17 | Ancient History | Jainism {जैन धर्म} [15-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371513998112/6371513998112.m3u8
History - Class-18 | Ancient History | Jainism {जैन धर्म} [17-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371595040112/6371595040112.m3u8
History - Class-19 | Ancient History | Jainism {जैन धर्म} [18-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371640698112/6371640698112.m3u8
History - Class-20 | Ancient History | Jainism {जैन धर्म} [21-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371748789112/6371748789112.m3u8
History - Class-21 | Ancient History | Magadha Empire {मगध साम्राज्य} [22-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371785166112/6371785166112.m3u8
History - Class-22 | Ancient History | Magadha Empire {मगध साम्राज्य} [23-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371826147112/6371826147112.m3u8
History - Class-23 | Ancient History | Mauryan Empire {मौर्य साम्राज्य} [24-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/oonElwP81XQ/oonElwP81XQ.m3u8
History - Class-24 | Ancient History | Mauryan Empire {मौर्य साम्राज्य} [25-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371923178112/6371923178112.m3u8
History - Class-25 | Ancient History | Mauryan Empire {मौर्य साम्राज्य} [28-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372020901112/6372020901112.m3u8
History - Class-26 | Ancient History | Post Mauryan Empire {मौर्योत्तर काल} [29-Apr-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372058917112/6372058917112.m3u8
History - Class-27 | Ancient History | Post Mauryan Empire {मौर्योत्तर काल} [02-May-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372211582112/6372211582112.m3u8
History - Class-28 | Ancient History | Satavahana Dynasty {सातवाहन राजवंश} [05-May-2025 17:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372362592112/6372362592112.m3u8
