[Intro] IIT JEE 2.0 | IIT JEE Big Announcement | Careerwill JEE : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4475375/1751873283_9895971845525287/1751873253362_723003298178464500_video_VOD.mpd?#keysV1=KlzKGUv2rWRFEmHYyxZihEi-4dhfARh32hMefKtDOxL-wqmeTIwbSkkG8cNKxRM_jvo_s5p49y5Az2Ko_wU0e_zQ-gmhsDrZIu3SuG3WfwFXUUl3Sx-23ggnU-wc_HHDJAdYaqXRwn_dUNjnTtPawiKciIIV-UhraHxal-_JyWIeGlaocI4OYUWiogdlTvfLFvTHTLZfJnyd-WFIKuLQy1gdkcKFD4uUUAK-vM967l53Bi0eBsaPeucS-5nK8etFp-RetXWuyj-v71oSifPXOMPcRMlTjD7xKm_HsP4Htqii7vThvGN1oQC4oU7tOTf4qQAzacZ_61aZ7Va2yz765Q7NIdMHUhpc_aRyikcEXzSCcvLw8Sx3yYVpXwZc0szf
[Physics] Unit and Dimension | L-01 | Fundamental Quantities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371517034112/6371517034112.m3u8
[Physics] Unit and Dimensions | L-02 | Dimensions : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371597672112/6371597672112.m3u8
[Physics] Unit and Dimensions | L-03 | Dimensions : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371686519112/6371686519112.m3u8
[Physics] Vector | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371789247112/6371789247112.m3u8
[Physics] Vector | L-02 | Vector Addition : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371868791112/6371868791112.m3u8
[Physics] Vector | L-03 | Vector Addition : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371963028112/6371963028112.m3u8
[Physics] Vector | L-04 | Resolution of Vectors : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372061737112/6372061737112.m3u8
[Physics] Vector | L-05 | Vector Components : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372165757112/6372165757112.m3u8
[Physics] Vector | L-06 | Vector in 3D : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372277155112/6372277155112.m3u8
[Physics] Vector | L-07 | Dot Product : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372359462112/6372359462112.m3u8
[Physics] Basic Maths | L-01 | Differential Caculus : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372455515112/6372455515112.m3u8
[Physics] Basic Maths | L-02 | Differential Calculus : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372563920112/6372563920112.m3u8
[Physics] Basic Maths | L-03 | Chain Rule : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372693630112/6372693630112.m3u8
[Physics] Basic Maths | L-04 | Maxima and Minima : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372786610112/6372786610112.m3u8
[Physics] Basic Maths | L-05 | Integration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372891182112/6372891182112.m3u8
[Physics] Kinematics | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373047975112/6373047975112.m3u8
[Physics] Kinematics | L-02 | Kinematics Defination : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373163430112/6373163430112.m3u8
