Vector | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373650673112/6373650673112.m3u8
Quantum Number and Electronic Configuration of Elements | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373692962112/6373692962112.m3u8
Logarithm | L-01 | Basic Term and Properties : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373820351112/6373820351112.m3u8
Vector | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373650673112/6373650673112.m3u8
Vector | L-02 | Vector Addition : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373782773112/6373782773112.m3u8
Vector | L-03 | Vector Components : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373856528112/6373856528112.m3u8
Vector | L-04 | Vector in 3-D : https://www.youtube.com/embed/sFWiqI6K6Yw
Kinematics | L-01 | Introduction : https://www.youtube.com/embed/D-QFqX3xEcg
Kinematics | L-02 | Graph in 1-D Motion : https://www.youtube.com/embed/NdxI9dMEp6Q
Kinematics | L-03 | 1-D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374044587112/6374044587112.m3u8
Kinematics | L-04 | Discussion on 1-D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374046437112/6374046437112.m3u8
Kinematics | L-05 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374122264112/6374122264112.m3u8
Kinematics | L-06 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374227773112/6374227773112.m3u8
Kinematics | L-07 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374347069112/6374347069112.m3u8
Kinematics | L-08 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374512649112/6374512649112.m3u8
Kinematics | L-09 | Relative Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374608552112/6374608552112.m3u8
Kinematics | L-10 | Relative Motion : https://www.youtube.com/embed/-krPwD0vh3I
Kinematics | L-11 | Relative Motion : https://www.youtube.com/embed/vBf7JwDMIJo
Kinematics | L-12 | Relative Motion : https://www.youtube.com/embed/hrvtQLEq9QE
Kinematics | L-13 | Relative Motion : https://www.youtube.com/embed/E4HMN_4nwAs
Kinematics | L-14 | Constraint Motion : https://www.youtube.com/embed/mcyGsgZ7HsM
Kinematics | L-15 | Constraint Motion : https://www.youtube.com/embed/bV0YJ7tQKY4
