[Physics] Geometrical Optics | L-01 | Reflection of Light : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_ios/4476612/1751969189_5960079140138219/1751969144140_81935506178715040_video_VOD.m3u8
[Physics] Geometrical Optics | L-02 | Reflection of Light : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371595535112/6371595535112.m3u8
[Physics] Geometrical Optics | L-03 | Reflection of Light : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371681944112/6371681944112.m3u8
[Physics] Geometrical Optics | L-04 | Spherical Mirrors : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371784870112/6371784870112.m3u8
[Physics] Geometrical Optics | L-05 | Reflection at Plane Surface : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371865727112/6371865727112.m3u8
[Physics] Geometrical Optics | L-06 | Reflection at Plane Surface : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371962589112/6371962589112.m3u8
[Physics] Geometrical Optics | L-07 | Reflection and Plane Surface : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372057737112/6372057737112.m3u8
[Physics] Geometrical Optics | L-08 | Reflection at Spherical Surface : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372162633112/6372162633112.m3u8
[Physics] Geometrical Optics | L-09 | Reflection at Spherical Surface : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372271463112/6372271463112.m3u8
[Physics] Geometrical Optics | L-10 | Thin Lens : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372407538112/6372407538112.m3u8
[Physics] Geometrical Optics | L-11 | Thin Lens : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372513879112/6372513879112.m3u8
[Physics] Geometrical Optics | L-12 | Thin Lens : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372618812112/6372618812112.m3u8
[Physics] Geometrical Optics | L-13 | Prism : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372740889112/6372740889112.m3u8
[Physics] Geometrical Optics | L-14 | Dispersion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372837072112/6372837072112.m3u8
