Function | L-01 | Basic Definations : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373563645112/6373563645112.m3u8
Wave Optics | L-01 | Review of SHM Basic Concepts : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373597828112/6373597828112.m3u8
Redox | L-01 | Oxidation Reduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373600747112/6373600747112.m3u8
Types of Reaction | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373650175112/6373650175112.m3u8
Wave Optics | L-01 | Review of SHM Basic Concepts : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373597828112/6373597828112.m3u8
Wave Optics | L-02 | Review of Waves Basic Concept : https://www.youtube.com/embed/Ng_DRRJ7yuw
Wave Optics | L-03 | YDS Method : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373815469112/6373815469112.m3u8
Wave Optics | L-04 | YDS Method : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373894839112/6373894839112.m3u8
Wave Optics | L-05 | Variations of YDSE : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/6373986708112/6373986708112.m3u8
Wave Optics | L-06 | Thin Film Interference : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374079279112/6374079279112.m3u8
Wave Optics | L-07 | Differection of Light : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374172752112/6374172752112.m3u8
Wave Optics | L-08 | Polarization of Light : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374275335112/6374275335112.m3u8
Electrostatics | L-01 | Coulomb's Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374426851112/6374426851112.m3u8
Electrostatics | L-02 | Electric Feild : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374567543112/6374567543112.m3u8
Electrostatics | L-03 | Electric Potential : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374654713112/6374654713112.m3u8
Electrostatics | L-04 | Electric Dipole : https://www.youtube.com/embed/qrPIglLF3qE
Electrostatics | L-05 | Gauss's Law : https://www.youtube.com/embed/EqJTBLK002A
Electrostatics | L-06 | Application of Gauss's Law : https://www.youtube.com/embed/aXTSqAHyAFI
Electrostatics | L-07 | Application of Gauss's Law : https://www.youtube.com/embed/KfyWUAI8XdQ
Electrostatics | L-08 | Conductors : https://www.youtube.com/embed/mEKHXNXhjXw
Electrostatics | L-09 | Conductors : https://www.youtube.com/embed/P9cpWDUqlUw
Electrostatics | L-10 | Conductors : https://www.youtube.com/embed/wWUAktqjdb8
Electrostatics | L-11 | Conductors : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4477782/175205885923313907752/175205885923313907752_3907752.m3u8
Gravitation | L-01 | Introduction : https://www.youtube.com/embed/tD72qlQoiyY
Gravitation | L-02 | Satellite : https://www.youtube.com/embed/t_I-YNxAims
Gravitation | L-03 | Kepler's Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4483784/175266362046626723772/175266362046626723772_6723772.m3u8
Gravitation | L-04 | Gravitation Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4485765/175283639660234221427/175283639660234221427_4221427.m3u8
Current Electricity | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4487780/17530957044779622509/17530957044779622509_622509.m3u8
Current Electricity | L-02 | Ohm's Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4491006/175326844791869803317/175326844791869803317_9803317.m3u8
Current Electricity | L-03 | Kirchhoff's Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4493625/175344145231626723772/175344145231626723772_6723772.m3u8
Current Electricity | L-04 | Kirchhoff's Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4501398/175370048993196723772/175370048993196723772_6723772.m3u8
Current Electricity | L-05 | Electrical Instruments : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4504040/175387348279319803317/175387348279319803317_9803317.m3u8
