[Introduction] - Part-1 || Introduction || 25-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2501592/utk-2/1742920389/index.m3u8
[Introduction] - Part-2 || Introduction || 26-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2502925/utk-4/1743007110/index.m3u8
[Introduction] - Part-3 || Introduction || 01-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5g8qa8ynzKr/video.m3u8
[Introduction] - Part-4 || Introduction || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8zA5bfTFxkQ/video.m3u8
[Introduction] - Part-5 || Introduction || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9p4xPSn9Ju8/video.m3u8
[Coding Decoding] - Part-1 || Coding Decoding || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/hsFEQD5ZTts/video.m3u8
[Coding Decoding] - Part-2 || Coding Decoding || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AENNj4mmsrG/video.m3u8
[Coding Decoding] - Part-3 || Coding Decoding || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/98QY56k3t2D/video.m3u8
[Coding Decoding] - Part-4 || Coding Decoding || 08-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2516043/utk-17/1744109469/index.m3u8
[Calendar] - Part-1 || Calendar || 09-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3pnUfheUnpp/video.m3u8
[Calendar] - Part-2 || Calendar || 10-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9hgYmb9Bach/video.m3u8
[Calendar] - Part-3 || Calendar || 11-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4UhymYyEfnT/video.m3u8
[Calendar] - Part-4 || Calendar || 12-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BhcMdgGQmhU/video.m3u8
[Calendar] - Part-5 || Calendar || 14-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BAxYGUudDKd/video.m3u8
[Calendar] - Part-6 || Calendar || 15-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4Aq6YQ9XBMg/video.m3u8
[Calendar] - Part-7 || Calendar || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BS7hgFjCxrz/video.m3u8
[Number Series] - Part-1 || Number Series || 17-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3KuYHNJ4HY5/video.m3u8
[Number Series] - Part-2 || Number Series || 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4SAbA3dmn7A/video.m3u8
[Number Series] - Part-3 || Number Series || 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BnShgzT9Ppk/video.m3u8
[Number Series] - Part-4 || Number Series || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7Y6qDC7d5hD/video.m3u8
[Number Series] - Part-5 || Number Series || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4MjEXKaMd8x/video.m3u8
[Analogy And Similarity] - Part-1 || Analogy & Similarity || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5fXDf2YdRRq/video.m3u8
[Analogy And Similarity] - Part-2 ||  Analogy & Similarity || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BH7JKe5GbSC/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-1 ||  Blood relation || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B8Sc7N4bcdh/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-2 ||  Blood relation || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/NP6EbJMNX3A/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-3 || Blood relation || 30-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2546579/utk-50/1746010095/index.m3u8
[रक्त संबंध (Blood Relation)] - Part-4 || Blood relation || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5gEuqRYTgDF/video.m3u8
[दिशा परीक्षण (Direction Test)] - Part-1 || दिशा परीक्षण || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3XqEdhtyERN/video.m3u8
[दिशा परीक्षण (Direction Test)] - Part-2 || दिशा परीक्षण || 03-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2551496/utk-48/1746269138/index.m3u8
[दिशा परीक्षण (Direction Test)] - Part-3 || दिशा परीक्षण || 05-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7T8TSEqgUQE/video.m3u8
[Introduction] - Part-1 || Introduction || 25- March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2499958/utk-54/1742880478/index.m3u8
[Introduction] - Part-2 || Introduction || 26- March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4Y6XZ52NC8H/video.m3u8
[Introduction] - Part-3 || Introduction || 01-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/76s8MBbxnQ5/video.m3u8
[Percentage ] - Part-1 || Percentage || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B9utJXpjpDz/video.m3u8
[Percentage ] - Part-2 || Percentage || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9ub4b3Y6Ben/video.m3u8
[Percentage ] - Part-3 || Percentage || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/C5dTzt8ySUM/video.m3u8
[Percentage ] - Part-4 || Percentage || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BMpRnB7Etu8/video.m3u8
