[Batch Thumbnail] UPSI 2025 POLITY +मूलविधि : https://selectionwayserver.hranker.com/courses/banners/1765013045618-poster_mool.jpg
[Introduction] UPSI LAUNCH EVENT : https://www.youtube.com/watch?v=c4zSJcYVJzM
[मूलविधि ] Class - 01 || महिला अधिनियम by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Dowry%20Prohibition%20Act.pdf
[मूलविधि ] Class - 01 || महिला अधिनियम by Jeet Rana sir : https://www.youtube.com/watch?v=R2so-hj3bKQ
[मूलविधि ] Class - 02 || महिला अधिनियम by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Woman%20Act%202.pdf
[मूलविधि ] Class - 02 || महिला अधिनियम by Jeet Rana sir : https://selectionwaylive.hranker.com/561/693afbb36385517afa497257/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 03 || महिला अधिनियम by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Domestic%20Violence.pdf
[मूलविधि ] Class - 03 || महिला अधिनियम by Jeet Rana sir : https://selectionwaylive.hranker.com/561/693d0ebb6385517afab139e9/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 04 || महिला अधिनियम by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Domestic%20violence%2002.pdf
[मूलविधि ] Class - 04 || महिला अधिनियम by Jeet Rana sir : https://selectionwaylive.hranker.com/561/69412d336385517afa686b40/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 05 || POSH Acts by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/POSH%20Act.pdf
[मूलविधि ] Class - 05 || POSH Acts by Jeet Rana sir : https://selectionwaylive.hranker.com/561/69464523df16ce64636af6ae/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 06 || POSH Acts by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/POSH%20Acts%202_.pdf
[मूलविधि ] Class - 06 || POSH Acts by Jeet Rana sir : https://selectionwaylive.hranker.com/561/694a82ffb38db8674b292f3b/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 07 || Child Acts ( बाल अधिनियम ) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/child%20act%201.pdf
[मूलविधि ] Class - 07 || Child Acts ( बाल अधिनियम ) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/694bbcef2feca20f817dda2c/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 08 || Child Acts ( बाल अधिनियम ) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Child%20Act%2002.pdf
[मूलविधि ] Class - 08 || Child Acts ( बाल अधिनियम ) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/694d7071b54cadeb61410f91/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 09 || POCSO Act by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/POCSO%20Act%20.pdf
[मूलविधि ] Class - 09 || POCSO Act by Jeet Rana sir : https://selectionwayrecordedmp4.hranker.com/561/69516b7ab54cadeb61361977/hls/master.m3u8
[मूलविधि ] Class - 10 || NSA (राष्ट्रीय सुरक्षा अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/NSA_.pdf
[मूलविधि ] Class - 10 || NSA (राष्ट्रीय सुरक्षा अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/69527443b54cadeb6168dd9f/playlist-mpl-vod.m3u8
[मूलविधि ] Class - 11 || NSA (राष्ट्रीय सुरक्षा अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/moolvidhi-.pdf
[मूलविधि ] Class - 11 || NSA (राष्ट्रीय सुरक्षा अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6953a193b54cadeb61376181/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 12 || EPA (पर्यावरण संरक्षण अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/EPA%20Act_.pdf
[मूलविधि ] Class- 12 || EPA (पर्यावरण संरक्षण अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6957966fc1e281b4642da7d6/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 13 || EPA (पर्यावरण संरक्षण अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/EPA%20ACT%20BOARD%20PDF.pdf
[मूलविधि ] Class- 13 || EPA (पर्यावरण संरक्षण अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6958fbb29ed6d5d2426e7a20/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 14 || RTI Act (सूचना का अधिकार अधिनियम) 01 by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/RTI%20Act%2001.pdf
[मूलविधि ] Class- 14 || RTI Act (सूचना का अधिकार अधिनियम) 01 by Jeet Rana sir : https://selectionwaylive.hranker.com/561/695b754a9ed6d5d242cae7ae/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 15 || RTI Act (सूचना का अधिकार अधिनियम) 02 by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/RTI%20ACT%2002.pdf
[मूलविधि ] Class- 15 || RTI Act (सूचना का अधिकार अधिनियम) 02 by Jeet Rana sir : https://selectionwayrecordedmp4.hranker.com/561/695f55ea027f25d29ec64510/hls/master.m3u8
[मूलविधि ] Class- 16 || PIL (जनहित याचिका) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/PIL.pdf
[मूलविधि ] Class- 16 || PIL (जनहित याचिका) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/695f9c562feca20f81ecddec/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 17 || Origin Of PIL (जनहित याचिका की उत्पत्ति) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Origin%20of%20PIL.pdf
[मूलविधि ] Class- 17 || Origin Of PIL (जनहित याचिका की उत्पत्ति) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/696212cf2feca20f81fd25de/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 18 || Corruption Act  (भ्रष्टाचार निवारण अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/Corruption%20Act.pdf
[मूलविधि ] Class- 18 || Corruption Act  (भ्रष्टाचार निवारण अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6964b13f2feca20f810727ce/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 19 || Prevention of Corruption Act   (भ्रष्टाचार निवारण अधिनियम) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/PCA%20Act.pdf
[मूलविधि ] Class- 19 || Prevention of Corruption Act   (भ्रष्टाचार निवारण अधिनियम) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6965f4a22feca20f81149572/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 20 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS.pdf
[मूलविधि ] Class- 20 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6968a7402feca20f81240895/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 21 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS%202_.pdf
[मूलविधि ] Class- 21 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/696a047c719de161eee52faf/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 22 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS%20Part%203.pdf
[मूलविधि ] Class- 22 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/696dfb95719de161eef41780/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 23 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS%204.pdf
[मूलविधि ] Class- 23 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/696f44a3719de161ee01a0c8/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 24 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS%205.pdf
[मूलविधि ] Class- 24 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/69713ff0719de161ee12d5e4/playlist-mpl-vod.m3u8
[मूलविधि ] Class- 25 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwayserver.hranker.com/pdfs/files/BNSS%206.pdf
[मूलविधि ] Class- 25 || BNSS  (भारतीय नागरिक सुरक्षा संहिता) by Jeet Rana sir : https://selectionwaylive.hranker.com/561/6971fbf9719de161ee2a2249/playlist-mpl-vod.m3u8
